ip.src,ip.dst,tcp.srcport,eth.src,eth.dst,frame.len,udp.srcport,udp.dstport,Label
136.0.86.165,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
172.120.24.143,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
166.88.89.117,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
136.0.86.229,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
136.0.86.135,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
23.230.239.35,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
136.0.86.144,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
136.0.199.199,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.253.194.126,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
50.118.154.113,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
142.252.218.157,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
107.186.8.171,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
166.88.253.65,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
142.111.211.144,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
142.252.99.198,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
50.118.149.36,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
50.118.149.36,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
107.164.205.51,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
142.111.211.144,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
107.187.84.84,10.10.10.10,443.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
107.173.155.30,10.10.10.10,443.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
107.187.84.84,10.10.10.10,443.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
142.111.211.241,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.164.137.115,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
107.175.44.68,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
136.0.160.222,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
142.252.105.94,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
166.88.52.57,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
107.165.252.39,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
172.121.138.79,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
172.121.138.79,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
23.230.10.251,10.10.10.10,443.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.252.167.152,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
45.38.180.102,10.10.10.10,443.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,54,,,Attack
104.253.64.173,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,54,,,Attack
107.165.240.21,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,54,,,Attack
172.99.233.20,10.10.10.10,22.0,00:16:3e:0d:ec:f2,98:5d:82:11:54:49,118,,,Attack
104.253.120.84,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.252.100.129,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,54,,,Attack
104.252.100.126,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
198.251.81.135,10.10.10.10,443.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
45.39.62.79,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
23.27.81.109,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
172.99.233.20,10.10.10.10,22.0,00:16:3e:0d:ec:f2,98:5d:82:11:54:49,182,,,Attack
104.253.116.205,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
107.164.42.159,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
23.27.44.104,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
172.120.186.226,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
136.0.245.109,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
142.252.96.45,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.253.21.52,10.10.10.10,443.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
172.99.233.20,10.10.10.10,22.0,00:16:3e:0d:ec:f2,98:5d:82:11:54:49,118,,,Attack
172.252.123.83,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
107.164.236.169,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
107.165.231.205,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
23.27.84.84,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
142.111.96.78,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
107.165.18.201,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
172.252.128.129,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.252.113.58,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
142.111.96.78,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
